id,issue,solve
945,File Excel hilang setelah crash,Cari file AutoRecover di %AppData%\Microsoft\Excel.
946,Excel tidak bisa mencetak,Pastikan printer default sudah disetel dengan benar.
947,Excel menampilkan sel kosong padahal ada data,Gunakan Clear Filter di tab Data.
948,Excel tidak bisa mengedit file,Nonaktifkan Protected View di Trust Center.
949,Excel error #REF!,"Sel referensi dalam rumus sudah dihapus, perbaiki tautan."
950,Excel tidak bisa membuka file lama (.xls),Convert ke format baru .xlsx.
951,Excel tidak bisa copy sheet,Pastikan workbook tidak dalam mode shared.
952,Excel crash saat buka file besar,Gunakan 64-bit Excel untuk file berukuran besar.
953,Excel tidak bisa menghapus baris,Pastikan sheet tidak dikunci (protected).
954,Excel tidak menampilkan gridline,Aktifkan gridline di tab View.
955,Excel tidak bisa filter data,Pastikan range tabel sudah benar.
956,Excel tidak bisa menggunakan macro,Aktifkan macro di Trust Center Settings.
957,Excel error “Circular Reference”,Hapus referensi yang memutar antar sel.
958,Excel tidak bisa sort angka,"Pastikan data bertipe numeric, bukan text."
959,Excel menampilkan #N/A,"Data lookup tidak ditemukan, periksa referensi tabel."
960,Excel tidak bisa undo,Simpan file baru dan buka ulang Excel.
961,Excel tidak bisa buka hyperlink,Aktifkan hyperlink di pengaturan Trust Center.
962,Excel tidak bisa ubah ukuran kolom,Hapus proteksi sheet.
963,Excel error #NAME?,Periksa nama fungsi dan ejaan formula.
964,Excel tidak bisa drag formula,Aktifkan opsi Enable Fill Handle di pengaturan.
965,Excel tidak bisa tampil penuh,Tekan Alt + V + U untuk masuk mode full screen.
966,Excel tidak bisa tampilkan grafik,Pastikan data numerik valid dan tidak ada nilai kosong.
967,Excel tidak bisa menampilkan warna,Nonaktifkan high contrast mode di Windows.
968,Excel error “Out of memory”,Tutup file besar lain sebelum membuka Excel.
969,Excel tidak bisa menyimpan macro,Simpan file dalam format .xlsm.
970,Excel tidak bisa mengetik angka 0 di awal,Format sel sebagai Text sebelum mengetik.
971,Excel tidak bisa freeze panes,Pastikan sel aktif di baris dan kolom yang benar.
972,Excel tidak bisa insert kolom,"Sheet penuh, hapus kolom yang tidak digunakan."
973,Excel tidak bisa membuka add-in,Aktifkan kembali di COM Add-ins.
974,Excel tidak bisa mengurutkan teks,Pastikan tidak ada sel kosong di tengah data.
975,Excel menampilkan nilai negatif dalam kurung,Ubah format angka di pengaturan Number Format.
976,Excel error “File cannot be found”,Cek path file dan pastikan tidak ada karakter aneh.
977,Excel tidak bisa melakukan merge cell,Pastikan sel yang digabung kosong semua.
978,Excel tidak bisa copy data antar workbook,Tutup workbook lain yang sedang shared.
979,Excel tidak bisa tampilkan preview print,Pastikan driver printer aktif.
980,Excel tidak bisa import data dari Access,Pastikan Access Database Engine sudah terinstal.
981,Excel tidak bisa filter tanggal,Ubah format sel menjadi Date.
982,Excel tidak bisa refresh pivot table,Klik Refresh All dan pastikan sumber data valid.
983,Excel error saat buka file OneDrive,Login ulang akun Microsoft 365.
984,Excel tidak bisa tampilkan hasil SUM,Ubah format sel ke Number.
985,Excel tidak bisa ubah format angka,Hapus proteksi sheet.
986,Excel menampilkan #SPILL!,Gunakan versi Excel terbaru yang mendukung dynamic arrays.
987,Excel tidak bisa menampilkan formula,Tekan Ctrl + ~ untuk menonaktifkan tampilan formula.
988,Excel tidak bisa tampilkan komentar,Aktifkan Show Comments di tab Review.
989,Excel tidak bisa menyimpan otomatis,Aktifkan fitur AutoRecover di File ? Options.
990,Excel tidak bisa mencari data (Ctrl+F),Nonaktifkan pilihan Match Case di dialog Find.
991,Excel tidak bisa print seluruh halaman,Atur scaling ke Fit Sheet on One Page.
992,Excel tidak bisa menyembunyikan baris,Pastikan tidak ada filter aktif.
993,Excel error saat membuka link antar file,Update path file sumber data.
994,Excel tidak bisa menambahkan macro baru,Pastikan mode Developer aktif.
995,Excel tidak bisa membuka file zip,Ekstrak file terlebih dahulu sebelum dibuka.
996,Excel tidak bisa menampilkan rumus otomatis,Pastikan Calculation Mode diset ke Automatic.
997,Excel error saat menggunakan VLOOKUP,Periksa urutan kolom dan referensi range lookup.
998,Excel tidak bisa ubah warna sel,Nonaktifkan conditional formatting sementara.
999,Excel tidak bisa buka file terenkripsi,Masukkan password dengan benar atau reset proteksi.
1000,Excel tidak bisa copy data ke Word,Gunakan paste special ? Keep Source Formatting.
1001,Excel tidak bisa menyimpan file ke cloud,Pastikan koneksi OneDrive aktif.
1002,Excel tidak bisa tampilkan data link,Refresh koneksi ke sumber data.
1003,Excel error #NULL!,Periksa tanda koma atau titik dua pada range formula.
1004,Excel tidak bisa ubah nama sheet,Hapus karakter ilegal seperti “/” atau “?”.
1005,Excel tidak bisa tampilkan header tabel,Aktifkan Filter di tab Data.
1006,Excel tidak bisa menampilkan chart legend,Centang opsi Legend di menu Chart Elements.
1007,Excel tidak bisa memfilter pivot table,Klik Refresh Data terlebih dahulu.
1008,Excel tidak bisa ubah urutan data,Pastikan range data tidak termasuk header.
1009,Excel error saat buka link eksternal,Update lokasi file sumber data.
1010,Excel tidak bisa menampilkan tooltip formula,Aktifkan Formula Tips di pengaturan Excel.
1011,Excel tidak bisa insert gambar,Pastikan gambar tidak corrupt.
1012,Excel tidak bisa mengetik di cell tertentu,Cek proteksi sheet di tab Review.
1013,Excel tidak bisa menampilkan hasil Average,Gunakan fungsi =AVERAGE(range) dan pastikan data numerik.
1014,Excel tidak bisa menambahkan kolom baru,"Range penuh, hapus data kosong."
1015,Excel tidak bisa membuka file makro (.xlsm),Aktifkan macro content di Security Warning.
1016,Excel error “Invalid reference”,Periksa sel referensi yang dihapus.
1017,Excel tidak bisa ubah format tanggal,Ganti format lokal di pengaturan Region.
1018,Excel tidak bisa update data Power Query,Pastikan sumber data tersedia dan online.
1019,Excel tidak bisa freeze header,Aktifkan Freeze Panes dari baris kedua.
1020,Excel menampilkan angka dalam bentuk eksponen,Ubah format angka menjadi Number.
1021,Excel tidak bisa scroll mouse,Aktifkan Scroll Lock di keyboard.
1022,Excel tidak bisa ubah ukuran font,Sheet kemungkinan dalam mode proteksi.
1023,Excel tidak bisa menampilkan ribbon,Tekan Ctrl + F1 untuk menampilkan kembali ribbon.
1024,Excel tidak bisa membuat grafik baru,Pastikan data sudah dipilih.
1025,Excel error saat menyimpan file lama,Simpan ulang dengan format .xlsx.
1026,Excel tidak bisa menghapus data,Pastikan tidak ada filter aktif.
1027,Excel tidak bisa menampilkan preview grafik,Pastikan mode “Normal View” aktif.
1028,Excel tidak bisa ubah tema warna,Pilih tema baru di Page Layout ? Themes.
1029,Excel tidak bisa membuka file dari SharePoint,Sinkronkan OneDrive terlebih dahulu.
1030,Excel tidak bisa menyalin rumus antar file,Gunakan Paste Special ? Formulas.
1031,Excel error “Not enough resources”,Tutup file lain dan restart Excel.
1032,File PDF tidak bisa dibuka,Gunakan Adobe Acrobat Reader versi terbaru.
1033,File PDF rusak setelah diunduh,Unduh ulang file karena mungkin gagal saat download.
1034,PDF tidak bisa diprint,Pastikan printer default aktif dan driver terinstal.
1035,PDF terlalu besar untuk dikirim email,Kompres menggunakan SmallPDF atau iLovePDF.
1036,File PDF tidak bisa disalin,Aktifkan izin salin di pengaturan keamanan PDF.
1037,PDF tidak bisa diubah ke Word,Gunakan tool convert resmi Adobe atau SmallPDF.
1038,PDF muncul kosong saat dibuka,Coba buka dengan Foxit Reader atau Edge PDF Viewer.
1039,Teks PDF tidak bisa dicopy,Gunakan OCR (Optical Character Recognition) untuk file hasil scan.
1040,PDF hasil scan buram,Ubah resolusi scan minimal 300 dpi.
1041,File PDF tidak bisa digabung,Gunakan Adobe Merge atau PDFsam Basic.
1042,PDF tidak bisa dipisah,Gunakan fitur Split PDF online seperti iLovePDF.
1043,PDF error “Invalid format”,"File corrupt, coba buka menggunakan Chrome."
1044,PDF tidak bisa dibuka di browser,Nonaktifkan ekstensi PDF pihak ketiga.
1045,PDF tidak bisa diedit,Gunakan Adobe Acrobat Pro untuk edit penuh.
1046,PDF hasil cetak terpotong,Atur scaling ke “Fit to page” di pengaturan print.
1047,PDF tidak bisa disimpan,Cek izin folder penyimpanan.
1048,File PDF terlalu besar,Gunakan fitur Compress PDF di Acrobat.
1049,PDF tidak bisa dikonversi ke Excel,Gunakan Adobe Export PDF atau convert.io.
1050,PDF hasil gabungan urutannya salah,Urutkan file sebelum digabungkan.
1051,PDF tidak bisa dibuka di HP,Instal aplikasi PDF Reader seperti Adobe atau WPS.
1052,PDF hasil konversi tidak rapi,Gunakan mode OCR untuk mempertahankan layout.
1053,PDF tidak bisa diberi password,Gunakan menu Protect di Adobe Acrobat.
1054,Password PDF lupa,Gunakan tool unlock PDF online dengan izin sah.
1055,PDF tidak bisa menampilkan gambar,Aktifkan hardware rendering di viewer.
1056,PDF error “Out of memory”,Tutup aplikasi lain dan buka kembali PDF.
1057,PDF tidak bisa di-highlight,Pastikan file tidak terkunci (read-only).
1058,PDF tidak bisa dibuka di Mac,Gunakan Preview atau Adobe Acrobat Reader.
1059,PDF hasil export blur,Atur kualitas tinggi saat menyimpan.
1060,PDF tidak bisa dirotasi,Gunakan fitur Rotate Pages di Adobe Acrobat.
1061,PDF tidak bisa dikonversi ke teks,Jalankan OCR di Acrobat atau aplikasi pihak ketiga.
1062,PDF tidak bisa dikunci,Pastikan file belum dienkripsi sebelumnya.
1063,PDF tidak bisa tampil di PowerPoint,Convert ke gambar (.png) lalu sisipkan ke slide.
1064,PDF tidak bisa copy tabel,Gunakan Excel Data Import dari PDF.
1065,PDF tidak bisa buka link,Perbarui PDF viewer ke versi terbaru.
1066,PDF tidak bisa tampil di browser Edge,Nonaktifkan “Always download PDF” di pengaturan.
1067,PDF tidak bisa dikomentari,Aktifkan Commenting di pengaturan file.
1068,PDF tidak bisa ditandatangani,Gunakan fitur Fill & Sign di Adobe Acrobat.
1069,PDF menampilkan font aneh,Aktifkan “Embed fonts” saat membuat file.
1070,PDF tidak bisa dibuka di Linux,Gunakan Evince atau Okular sebagai pembaca.
1071,PDF tidak bisa dibuka setelah di-zip,Ekstrak ulang file ZIP sebelum dibuka.
1072,File CSV tidak bisa dibuka di Excel,Gunakan menu Data ? From Text/CSV.
1073,CSV menampilkan huruf aneh,Ubah encoding ke UTF-8 saat membuka.
1074,CSV tidak bisa disimpan,Pastikan file tidak sedang dibuka oleh aplikasi lain.
1075,CSV hasil ekspor tidak rapi,"Gunakan tanda pemisah (delimiter) yang benar seperti koma (,)."
1076,CSV tidak bisa diimpor ke database,Periksa format kolom dan delimiter.
1077,CSV error “Too many columns”,Gabungkan kolom berlebih atau sesuaikan header.
1078,CSV tidak bisa dibuka di Notepad,Gunakan Notepad++ atau Excel untuk tampilan terformat.
1079,CSV tidak bisa diekspor dari Excel,Pastikan file disimpan dengan format CSV UTF-8.
1080,CSV error “Field missing”,Pastikan jumlah kolom konsisten di seluruh baris.
1081,CSV tidak bisa upload ke sistem,Pastikan file sesuai template upload sistem.
1082,CSV menampilkan data di satu kolom saja,Gunakan Text to Columns di Excel.
1083,CSV tidak bisa dibaca di Python,Tambahkan parameter encoding='utf-8' pada pandas.
1084,CSV hasil export kosong,Periksa apakah data tersaring (filtered).
1085,CSV tidak bisa rename,Tutup semua aplikasi yang sedang menggunakan file.
1086,CSV tidak bisa dihapus,Pastikan tidak sedang digunakan program lain.
1087,CSV tidak bisa import ke Google Sheets,Pastikan ukuran file tidak melebihi 5MB.
1088,CSV hasil ekspor ada tanda kutip ganda,Gunakan opsi quote=NONE di pengaturan export.
1089,CSV hasil import ada kolom bergeser,Gunakan delimiter yang sama antara export dan import.
1090,CSV menampilkan angka sebagai teks,Format kolom ke tipe Number setelah import.
1091,CSV tidak bisa diurutkan,Pastikan data tidak memiliki header ganda.
1092,CSV error “ParserError” di Python,Pastikan setiap baris memiliki jumlah kolom sama.
1093,CSV hasil merge duplikat,Jalankan drop_duplicates() di pandas.
1094,CSV tidak bisa dibuka online,Upload ke Google Sheets atau OneDrive.
1095,CSV menampilkan simbol “ï»¿”,Hapus BOM dengan text editor seperti Notepad++.
1096,CSV tidak bisa dikonversi ke JSON,Pastikan struktur kolom terdefinisi.
1097,CSV tidak bisa menyimpan karakter Indonesia,Simpan file dengan encoding UTF-8.
1098,CSV tidak bisa dibuka di R Studio,"Gunakan read.csv(file, encoding=""UTF-8"")."
1099,CSV error “No columns to parse”,Pastikan file berisi header yang valid.
1100,CSV tidak bisa merge di Excel,Pastikan kolom kunci identik di setiap file.
1101,CSV hasil export ada spasi tambahan,Gunakan fungsi strip() di Python untuk bersihkan.
1102,CSV tidak bisa diurutkan di sistem,Periksa format tanggal atau angka di kolom.
1103,CSV tidak bisa diparsing di web app,Gunakan format UTF-8 dan delimiter standar.
1104,CSV tidak bisa dibuka di LibreOffice,Pilih delimiter koma saat membuka.
1105,CSV error saat upload ke SQL,Pastikan escape karakter sesuai database.
1106,CSV tidak bisa dibaca script,Gunakan tanda kutip ganda di string dengan koma.
1107,CSV tidak bisa dibuka di Mac,Gunakan Numbers atau Excel Mac.
1108,CSV hasil export dari system error,Export ulang dengan opsi UTF-8.
1109,CSV tidak bisa simpan perubahan,Gunakan “Save As” dan ubah nama file.
1110,CSV tidak bisa diubah separator,Ubah pengaturan regional di Excel.
1111,CSV error saat dibuka di Notepad++,Pastikan encoding tidak ANSI.
1112,CSV tidak bisa dibaca pandas,Gunakan error_bad_lines=False untuk abaikan baris rusak.
1113,CSV hasil import kosong,Pastikan baris pertama bukan komentar.
1114,CSV tidak bisa deteksi header,Gunakan header=None di pandas.
1115,CSV tidak bisa join di Python,Gunakan merge() dengan kolom kunci yang sama.
1116,CSV tidak bisa disortir otomatis,Tambahkan baris header dan urutkan manual.
1117,CSV error “Unterminated quoted string”,Periksa tanda kutip di baris terakhir file.
1118,CSV tidak bisa dibuka karena besar,Gunakan Power Query atau split file.
1119,CSV tidak bisa disimpan ke Google Drive,Pastikan format file .csv valid.
1120,CSV tidak bisa diupload ke Power BI,Pastikan delimiter koma dan encoding UTF-8.
1121,CSV tidak bisa diolah di Excel lama,Simpan ulang dengan format CSV (MS-DOS).
1122,CSV hasil download double separator,Ubah delimiter menjadi koma tunggal.
1123,CSV tidak bisa tampil di sistem HR,Cek nama header sesuai template.
1124,CSV error “Row length mismatch”,Pastikan semua baris memiliki kolom sama.
1125,CSV tidak bisa diubah delimiter titik koma,"Edit di Notepad++ dan Replace “;” dengan “,”."
1126,CSV tidak bisa tampil di Power Query,Pastikan encoding UTF-8 terpilih.
1127,CSV tidak bisa dibuka di Excel Web,Gunakan Excel Desktop untuk file besar.
1128,CSV tidak bisa dibuka di mobile,Gunakan aplikasi WPS Office.
1129,CSV tidak bisa menyimpan karakter spesial,Gunakan UTF-8 tanpa BOM.
1130,CSV tidak bisa di-export otomatis,Pastikan script export berjalan tanpa error.
1131,CSV tidak bisa dikonversi ke PDF,Import ke Excel dulu lalu Export ke PDF.
1132,Oracle Database tidak bisa dijalankan,Pastikan service Oracle sudah aktif di Services.msc.
1133,Tidak bisa login ke SQL*Plus,"Periksa username, password, dan koneksi listener."
1134,Error ORA-01017: invalid username/password,Cek kembali kredensial dan pastikan caps lock tidak aktif.
1135,Listener Oracle tidak aktif,Jalankan perintah lsnrctl start di command prompt.
1136,Error ORA-12541: TNS no listener,Periksa apakah listener service sedang berjalan.
1137,Database tidak bisa terhubung dari client,Cek file tnsnames.ora dan listener.ora.
1138,Error ORA-12514: TNS listener does not currently know of service requested,Tambahkan service name ke listener.ora.
1139,Tidak bisa connect ke database lewat SQL Developer,Pastikan koneksi menggunakan service name yang benar.
1140,ORA-28000: the account is locked,Buka akun dengan ALTER USER username ACCOUNT UNLOCK;.
1141,ORA-12170: TNS connect timeout occurred,Pastikan port listener (default 1521) tidak diblokir firewall.
1142,Database berjalan lambat,Jalankan AWR report untuk analisis performa.
1143,Error ORA-01653: unable to extend table,Tambahkan datafile baru atau tingkatkan ukuran tablespace.
1144,Tidak bisa membuat user baru,Pastikan user SYS atau SYSTEM digunakan untuk membuat akun.
1145,Error ORA-01950: no privileges on tablespace,Berikan quota ke user menggunakan ALTER USER.
1146,Query berjalan sangat lambat,Optimalkan query dengan index pada kolom sering diakses.
1147,Error ORA-01555: snapshot too old,Tingkatkan ukuran undo tablespace.
1148,Tidak bisa menjalankan job DBMS_SCHEDULER,Pastikan job di-enable dan scheduler aktif.
1149,ORA-12560: TNS protocol adapter error,Jalankan ulang service Oracle di komputer lokal.
1150,Tidak bisa menjalankan script SQL,Periksa format SQL dan pastikan diakhiri dengan ;.
1151,ORA-28001: the password has expired,Ubah password dengan ALTER USER username IDENTIFIED BY newpass;.
1152,Database tidak bisa dimount,Cek file init.ora dan pastikan control file tersedia.
1153,ORA-00257: archiver error,Kosongkan ruang di ARCHIVELOG atau nonaktifkan mode archive.
1154,Tidak bisa menjalankan backup RMAN,Pastikan target database dalam mode mount atau open.
1155,Error ORA-03113: end-of-file on communication channel,Restart listener dan database.
1156,Tidak bisa menjalankan impdp,Pastikan directory Oracle Data Pump sudah dibuat.
1157,Error ORA-04031: unable to allocate shared memory,Tambah parameter shared_pool_size di init.ora.
1158,Database tidak bisa di-start,Jalankan perintah startup di SQL*Plus dengan user SYSDBA.
1159,ORA-01109: database not open,Jalankan ALTER DATABASE OPEN; setelah startup mount;.
1160,Tidak bisa menjalankan query join,Pastikan tabel memiliki relasi dan index yang sesuai.
1161,Error ORA-01536: space quota exceeded,Tambahkan quota pada tablespace terkait.
1162,ORA-28002: the password will expire soon,Ganti password sebelum masa berlaku habis.
1163,Tidak bisa export data,Pastikan privilege EXP_FULL_DATABASE diberikan.
1164,Error ORA-01555 saat query besar,Gunakan hint /*+ NO_UNDO */ atau perbesar undo tablespace.
1165,Tidak bisa akses Enterprise Manager,Jalankan emctl start dbconsole.
1166,Error ORA-01157: cannot identify datafile,Pastikan file data masih ada di lokasi yang benar.
1167,Tidak bisa insert data,Periksa constraint atau trigger di tabel tersebut.
1168,Error ORA-00054: resource busy,Jalankan query ulang setelah transaksi lain selesai.
1169,Tidak bisa melakukan restore database,Pastikan file backup RMAN tersedia dan valid.
1170,ORA-00257 archiver error full disk,Hapus atau pindahkan archive log lama.
1171,ORA-03135: connection lost contact,Periksa timeout jaringan dan keepalive parameter.
1172,Tidak bisa jalankan perintah CREATE TABLE,Pastikan user memiliki privilege CREATE TABLE.
1173,ORA-00001: unique constraint violated,Pastikan nilai primary key tidak duplikat.
1174,Tidak bisa akses database dari aplikasi,Pastikan credential dan IP database benar.
1175,Database restart otomatis,Cek log alert.log untuk penyebab crash.
1176,ORA-00060: deadlock detected,Hindari update tabel yang sama di dua session.
1177,ORA-01031: insufficient privileges,Jalankan perintah sebagai SYS atau tambahkan role.
1178,Tidak bisa menjalankan query view,Pastikan view sudah di-create dan memiliki akses.
1179,Database tidak bisa shutdown,Gunakan perintah shutdown immediate; di SQL*Plus.
1180,ORA-01400: cannot insert NULL,Isi kolom wajib (NOT NULL) sebelum insert.
1181,Database log file penuh,Tambahkan log group baru melalui ALTER DATABASE ADD LOGFILE.
1182,Tidak bisa koneksi dengan JDBC,Pastikan URL koneksi dan port sesuai konfigurasi listener.
1183,ORA-12545: connect failed because target host unreachable,Pastikan host IP database dapat di-ping.
1184,Tidak bisa login Enterprise Manager,Reset password SYSMAN menggunakan SQL*Plus.
1185,ORA-04098: trigger invalid,Recompile trigger dengan ALTER TRIGGER COMPILE;.
1186,ORA-01562: failed to extend rollback segment,Tambahkan ruang undo atau tingkatkan autoextend.
1187,Tidak bisa query tabel tertentu,Pastikan user memiliki privilege SELECT.
1188,ORA-00942: table or view does not exist,Periksa apakah tabel berada di schema lain.
1189,Database tidak bisa diakses dari luar jaringan,Buka port 1521 di firewall server.
1190,Tidak bisa jalankan query setelah idle lama,Tingkatkan parameter SQLNET.EXPIRE_TIME.
1191,ORA-03114: not connected to ORACLE,Jalankan ulang koneksi client dan listener.
1192,Tidak bisa ubah struktur tabel,Pastikan tidak ada constraint yang aktif.
1193,ORA-12899: value too large for column,Ubah ukuran kolom menggunakan ALTER TABLE MODIFY.
1194,Tidak bisa restore archive log,Pastikan mode archive aktif dan path benar.
1195,Database tiba-tiba hang,Periksa proses aktif menggunakan V$SESSION.
1196,Tidak bisa akses SQL Developer,Hapus koneksi lama dan buat koneksi baru.
1197,ORA-01578: ORACLE data block corrupted,Gunakan RMAN BLOCK RECOVER untuk perbaikan.
1198,Tidak bisa buka schema,Pastikan user memiliki privilege SELECT_CATALOG_ROLE.
1199,Database gagal startup setelah restart,Cek log alert.log untuk pesan error.
1200,ORA-00600 internal error,Laporkan bug ke Oracle Support dan restart database.
1201,Tidak bisa update data,Pastikan user memiliki hak UPDATE.
1202,ORA-01628: max extent reached,Tambah datafile atau tingkatkan MAXEXTENTS.
1203,ORA-01012: not logged on,Reconnect session yang terputus.
1204,Database tidak bisa auto start,Tambahkan script startup ke listener service.
1205,ORA-00245: control file backup failed,Pastikan path backup memiliki izin tulis.
1206,Tidak bisa menjalankan Data Pump Export,Buat directory object dan grant read/write.
1207,ORA-04021: timeout waiting on resource,Ulangi perintah setelah resource dilepas.
1208,ORA-01589: must use RESETLOGS,Jalankan ALTER DATABASE OPEN RESETLOGS;.
1209,Tidak bisa menjalankan query complex join,Optimalkan query dengan hint atau index.
1210,ORA-00313: open failed for members of log group,Ganti atau restore log file yang hilang.
1211,Database tidak bisa detach tablespace,Pastikan tidak ada sesi aktif menggunakan tablespace itu.
1212,ORA-04031: shared pool memory,Flush shared pool atau tingkatkan parameter memory.
1213,Tidak bisa query materialized view,Jalankan refresh view dengan DBMS_MVIEW.REFRESH.
1214,ORA-01650: unable to extend rollback segment,Tingkatkan ukuran undo tablespace.
1215,Database crash saat backup,Jalankan backup incremental agar tidak overload.
1216,Tidak bisa konek via PL/SQL Developer,Sesuaikan TNS alias dengan listener.
1217,ORA-12519: TNS no appropriate service handler,Tingkatkan parameter PROCESSES di spfile.
1218,Tidak bisa jalankan trigger,Pastikan trigger berstatus ENABLED.
1219,ORA-00936: missing expression,Cek kembali syntax SQL.
1220,ORA-00020: maximum number of processes exceeded,Tambah parameter PROCESSES di init.ora.
1221,Tidak bisa create index,Pastikan tablespace memiliki ruang cukup.
1222,ORA-01555 muncul berulang,Gunakan undo retention yang lebih besar.
1223,Tidak bisa delete data,Pastikan tidak ada foreign key constraint.
1224,Database tidak bisa open mode,Jalankan ALTER DATABASE OPEN READ WRITE;.
1225,ORA-01034: ORACLE not available,Jalankan startup database.
1226,Tidak bisa login SYSDBA,Gunakan command prompt “Run as Administrator”.
1227,ORA-04061: existing state of package has been discarded,Jalankan compile ulang package PL/SQL.
1228,Database tidak bisa sinkron dengan standby,Periksa Data Guard configuration.
1229,ORA-03136: inbound connection timed out,Tambah timeout di listener.ora.
1230,Tidak bisa backup log archive,Kosongkan ruang penyimpanan.
1231,ORA-06512: PL/SQL stack error,Debug package PL/SQL untuk menemukan error spesifik.
1232,EWS tidak dapat terhubung ke timbangan Mettler Toledo,Periksa koneksi kabel RS232/USB dan pastikan driver timbangan terinstal dengan benar.
1233,Nilai hasil timbang tidak muncul di PAS-X,"Cek koneksi integrasi antara EWS dan PAS-X, lalu lakukan sinkronisasi ulang."
1234,Timbangan tidak terbaca di EWS,Pastikan COM port benar diatur pada konfigurasi EWS.
1235,Error “Scale Not Found” saat login EWS,Restart service EWS Scale Manager dan pastikan timbangan aktif.
1236,Nilai tara tidak tersimpan di sistem,Tekan tombol Save Tare sebelum lanjut ke tahap berikutnya.
1237,Data hasil timbang gagal dikirim ke PAS-X,Jalankan ulang interface service di server PAS-X dan pastikan koneksi LAN stabil.
1238,EWS freeze saat proses penimbangan,"Tutup aplikasi, hapus cache temporer, dan restart PC."
1239,Material barcode tidak terbaca,Cek kondisi scanner dan pastikan format barcode sesuai master data PAS-X.
1240,EWS tidak dapat login ke domain,Verifikasi koneksi jaringan dan status Active Directory.
1241,Error “Out of Tolerance” saat timbang,Periksa SOP toleransi material dan kalibrasi timbangan.
1242,Hasil timbang tidak sesuai label,Cek ulang kode material dan batch number sebelum timbang.
1243,EWS tidak bisa dibuka,Jalankan ulang service EWS di Task Manager atau reinstall aplikasi.
1244,Proses timbang tidak ter-record di batch PAS-X,Lakukan manual synchronization pada menu integrasi.
1245,Timbangan menunjukkan nilai negatif,Pastikan wadah tidak diletakkan sebelum reset zero balance.
1246,Error komunikasi COM port,Ganti port kabel timbangan dan periksa pengaturan baud rate.
1247,Nilai display timbangan tidak stabil,Pastikan permukaan rata dan tidak ada getaran di meja timbang.
1248,Tidak bisa generate report hasil timbang,Cek folder output dan hak akses user di EWS.
1249,Error “Invalid User Role” di EWS,Pastikan role user diatur dengan hak akses yang benar di PAS-X.
1250,EWS tidak merespons perintah Start Weighing,"Restart aplikasi dan timbangan, lalu coba ulang."
1251,Nilai berat tidak update di layar PAS-X,Periksa latency jaringan dan service integrasi.
1252,Tidak bisa memilih material di EWS,Pastikan data material sudah di-download dari master PAS-X.
1253,Timbangan menampilkan overload,Kurangi beban dan tekan tombol reset tare.
1254,Tidak bisa print label timbang,Periksa koneksi printer dan driver di PC EWS.
1255,Label hasil timbang tidak sesuai nama material,Verifikasi konfigurasi template label di EWS.
1256,Error “Invalid Batch Number”,Pastikan nomor batch sudah dibuat di PAS-X.
1257,Timbangan disconnect otomatis,Cek kabel data dan nonaktifkan fitur power saving USB.
1258,EWS tidak dapat sinkron dengan PAS-X,Jalankan interface service restart di server integrasi.
1259,Nilai hasil timbang tidak tersimpan,Pastikan user menekan tombol “Save” sebelum keluar dari form.
1260,Data weighing hilang setelah logout,"Pastikan session di-close secara normal, bukan force exit."
1261,Error “Weighing Step Not Completed”,Lengkapi seluruh kolom wajib sebelum submit.
1262,Tidak bisa kalibrasi timbangan,Gunakan akun dengan hak akses maintenance.
1263,Timbangan gagal zeroing,Pastikan permukaan bebas benda dan stabil.
1264,EWS lambat merespons perintah,Bersihkan log lama dan pastikan koneksi jaringan stabil.
1265,Error “Material Not Found”,Lakukan refresh material list pada menu EWS.
1266,Nilai hasil timbang tidak muncul di history,Jalankan data refresh di menu laporan.
1267,Barcode batch tidak dikenali,Verifikasi prefix barcode di konfigurasi PAS-X.
1268,EWS tidak mendeteksi perangkat timbang baru,Lakukan hardware scan di Device Manager dan restart EWS.
1269,Error “Session Timeout” saat proses timbang,Tingkatkan waktu timeout di konfigurasi EWS.
1270,Tidak bisa generate log audit trail,Pastikan folder log memiliki izin tulis.
1271,EWS tidak bisa mengirim notifikasi hasil timbang,Periksa konfigurasi SMTP di server EWS.
1272,Nilai berat tidak berubah meski beban ditambah,Pastikan load cell timbangan berfungsi normal.
1273,Tidak bisa export data hasil timbang ke Excel,Aktifkan add-in Excel support di EWS.
1274,Data weighing ganda di batch,Jalankan duplicate check di PAS-X.
1275,Error komunikasi antara dua timbangan,Gunakan satu koneksi aktif per session EWS.
1276,Tidak bisa login ke PAS-X via EWS,Pastikan credential tersinkron dengan LDAP.
1277,EWS crash saat membuka job weighing,Update aplikasi ke versi terbaru.
1278,Timbangan terus menampilkan error “stabilizing”,Tunggu beberapa detik sampai nilai stabil sebelum menekan OK.
1279,Tidak bisa melakukan auto-tare,Pastikan fitur auto-tare aktif di pengaturan timbangan.
1280,EWS gagal sinkron data user,Jalankan ulang service “User Sync” di backend PAS-X.
1281,Data hasil timbang tidak tersimpan di server,Pastikan koneksi database tidak terputus selama proses.
1282,Error “License Expired”,Perbarui lisensi EWS melalui tim IT support.
1283,Tidak bisa akses menu weighing,Pastikan role user mengizinkan akses modul tersebut.
1284,EWS menampilkan error “Invalid Recipe”,Cek versi resep di PAS-X dan sinkron ulang.
1285,Timbangan delay dalam pembacaan,Periksa komunikasi serial dan kecepatan baud.
